Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,,,,
092011 Stack Overflow,5115389,"Hi Vikas, is there any special way to accept the answers? Do i have to send any mail or click on any link to accept the answers?",21,18,19,23,23,A2OXXHGAM7B0Y,A3EJ5TT2ZGBIDA,A17G2LOYX7WQZ,A1HBDQ0BJQBA4Q,A3OY0OL2M0HUTT,1.526856047,20.8,Polite,0.081074502,,,
092011 Stack Overflow,2600403,"Unfortunately, i do not know how to start. Ok, I use fft, but what and how should I do next?",15,21,18,16,21,A33SMNMTMIOJ6T,A1M1T2EF4Y2IW8,A1KC138MX47DXA,A2BKPNKU3EG41Z,A2WGBPEN45GJNF,0.818129687,18.2,Polite,0.148643362,,,
092011 Stack Overflow,5322245,"@Kdoto- I think it is, since I think I came up with one possible implementation. :-)  Can you check and see if my logic is correct?",17,22,15,20,21,A233ONYNWKDIYF,A3E157ZN8XPUKJ,A28TXBSZPWMEU9,A17G2LOYX7WQZ,A3DKR227NQCH4X,0.92779379,19,Polite,0.202742262,,,
092011 Stack Overflow,1309675,Any luck in figuring this one out?  Were any of the diagnostic steps in my answer useful?,17,18,20,18,20,A2UFD1I8ZO1V4G,A3EJ5TT2ZGBIDA,A17G2LOYX7WQZ,A2BKPNKU3EG41Z,A1Z7WT01G55LDC,0.934126725,18.6,Polite,0.030243981,,,
092011 Stack Overflow,2262887,"Ozan asks a good question below.  Out of curiosity, is this just a logic puzzle, or is there a reason someone would need to avoid basic language constructs?",21,21,21,19,14,A2WKPCZU4U110T,A2RDZ580VXUO1X,A28TXBSZPWMEU9,A17G2LOYX7WQZ,A2BKPNKU3EG41Z,1.627350499,19.2,Polite,0.522131589,,,
Wikipedia,625151,"No worries, please, dear - I'll keep this stage open at least until tomorrow night if you wish. Sounds ok to you?",13,21,21,25,17,A233ONYNWKDIYF,AHH34KPTA2LSS,A2UBXHCHM2I6IL,A872FSFU7WV6W,A1F4D2PZ7NNWTL,1.412427687,19.4,Polite,0.172973089,,,
Wikipedia,366930,I enjoyed your comments on the 'Road to Serfdom' article. I wonder if you know if anyone has offered a reading of the book as a satire of the bourgeois-administrative-pseudo-capitalist state?,19,17,21,21,17,AS8T4IKYL4V7F,AMJAP6BGF5LVM,A302M81U0HM7RJ,A872FSFU7WV6W,A2WZQ92N4809N1,1.012529871,19,Polite,0.094990621,,,
092011 Stack Overflow,4484233,You may break up to three sets trying to form a street (or the other way around). Is that ok?,17,21,16,18,20,A233ONYNWKDIYF,A3E157ZN8XPUKJ,A3EJ5TT2ZGBIDA,A1KC138MX47DXA,A3OY0OL2M0HUTT,0.694704404,18.4,Polite,0.598772475,,,
Wikipedia,555706,This is now ready for transfer. I will leave it up to you if that is OK?,20,18,15,21,19,A1486XFUE4FA27,A22SZHZTF72TRM,AYG3MF094634L,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,1.09505829,18.6,Polite,0.396097771,,,
Wikipedia,4288,Hi again - it looks like the same user is editing out all the information about Destiny being self-centred again. Is there some way we can stop this user from making these edits?,15,17,17,22,17,A1E0EK09CA5OIO,AO3XB5I5QNNUI,A31RP7HI5172B,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,0.636123718,17.6,Polite,0.534788832,,,
Wikipedia,374536,You have listed it as no source but the author asserts own work. Could you please clarify this?,16,17,21,17,20,AYG3MF094634L,A3KVLFBRO8X2MZ,A2MWGIVIKOXWYM,A2ULMYRKQMNNFG,A302M81U0HM7RJ,0.78323776,18.2,Polite,0.624957916,,,
092011 Cooking,2439,Knives! where are you?,14,21,17,15,21,AO3XB5I5QNNUI,A3IS283P2CECZJ,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A2MWGIVIKOXWYM,0.869889605,17.6,Polite,0.185521988,,,
Wikipedia,537310,It looks like you tried to file a checkuser case but you never created the subpage.  Do you need some help?,17,17,15,21,19,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A1DTQSIIYIZL62,A38N58BSMTA0BE,0.883924926,17.8,Polite,0.947640075,,,
092011 Cooking,3342,"Are you using cheesecloth, and worried because the finer particles get through and settle out? Or are you just running it through a sieve and seeing small cracklings still floating in it...?",8,9,9,13,5,AK5KO8FC6LLUO,AO3XB5I5QNNUI,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A32VJLRWGMYGSU,-1.101165536,8.8,Rude,0.573072373,,,
Wikipedia,102798,It has been a pleasure working with you on the Burma campaign. What is your source for the Japanese information you have been adding as the books I have been reading on the subject are all from a British or American perspective?,21,21,17,21,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A1G05O3HM7DNVZ,AIPK94CUWL45W,0.900069596,18.6,Polite,0.35692451,,,
092011 Stack Overflow,6945965,"So what's the problem? If you can read from server, then you don't know how to read if from local file, do you?",5,5,10,9,5,A2UME0TSE7N41G,A3EJ5TT2ZGBIDA,AD1IH74UX9IAI,AP6784DKV31O6,A3OY0OL2M0HUTT,-1.826894961,6.8,Rude,0.558395209,,,
092011 Stack Overflow,1829951,Since when is `String` a primitive? Since when can you store primitives in a `Collection`?,11,13,5,1,9,ARYGQ46IMW8AU,A2OTEOJC764LEP,AO3XB5I5QNNUI,A1TWD4UTLWVYAQ,A1Z7WT01G55LDC,-1.499006696,7.8,Rude,0.900110351,,,
Wikipedia,14825,In my opinion that would be more constructive way to approach the solution. What do you think?,21,13,17,16,22,A1X7TNDO0JIT1O,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A31RP7HI5172B,A3SQ6ORWDN5BGZ,0.702065308,17.8,Polite,0.152782692,,,
Wikipedia,623560,I see you created a nonsense article yesterday because you were bored. If I unblock you will you disrupt more?,13,9,5,6,7,A2UFD1I8ZO1V4G,ARYGQ46IMW8AU,A3H7G3TQXAYGYD,A3EJ5TT2ZGBIDA,A1F4D2PZ7NNWTL,-1.438191714,8,Rude,0.142488307,,,
092011 Stack Overflow,5903139,"Can you explain what you are trying to do? The *whole point* of the Null Object Refactoring is *not* to use `nil`, so why would you want to inherit from `NilClass` for that?",1,13,13,8,5,A1UIH2IMG9DV95,A2UFD1I8ZO1V4G,A23FB7HE970AZJ,A872FSFU7WV6W,A1F4D2PZ7NNWTL,-1.080794354,8,Rude,0.6871903,,,
092011 Unix and Linux,1474,"Perhaps rephrase it to something like, ""What do you look for when choosing a distribution?"", or ""Which distribution would best suit scenario X?""",17,25,17,21,25,A3RLCGRXA34GC0,A3E157ZN8XPUKJ,A2UFD1I8ZO1V4G,A32VJLRWGMYGSU,A1W2G1N4BDF2DW,1.341123901,21,Polite,0.415122213,,,
092011 Stack Overflow,1838160,"So? Are you expecting us to do your homework for you??? :-) Ok,here's a hint... what's the type of `""a"" | ""b""`?",4,9,5,11,9,A2UME0TSE7N41G,A2UFD1I8ZO1V4G,A1G05O3HM7DNVZ,A14TK8NCD4CUN1,A34M93NJC830DP,-1.79332109,7.6,Rude,0.263107355,,,
092011 Ask Ubuntu,5931,[nvidia-96](http://apt.ubuntu.com/p/nvidia-96) should be what you need. What is the output of `dmesg | grep -i nvidia` and `grep -i nvidia /var/log/Xorg.0.log`?,17,21,21,21,22,AO3XB5I5QNNUI,ARYGQ46IMW8AU,A28TXBSZPWMEU9,A32VJLRWGMYGSU,ARX0S1CIDJLOX,1.831283338,20.4,Polite,0.676752902,,,
Wikipedia,8208,"Ok, many thanks for that. I'm not sure how reliable that 2nd group are - it has <url> but what about all his dinner-guests?",21,13,17,21,18,AO5E3LWBYM72K,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,A1Y3Z92RE62NPS,A2WZQ92N4809N1,0.731371224,18,Polite,0.018410832,,,
092011 Ask Ubuntu,1586,Also are you complete sold with VSFTPD? Or would you be interested in other types of FTP softwares like pureftp?,5,7,9,11,10,A233ONYNWKDIYF,A23312XQ2AQ91W,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A1T5YMBH35PDBX,-1.547093351,8.4,Rude,0.803664543,,,
Wikipedia,72875,"You are being very insulting on <url>. Can't you just trust the strength of your arguments, instead of insulting people who are doing their best to help improve Wikipedia?",1,1,11,11,5,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,A3GOI327COFGY5,-2.127390821,5.8,Rude,0.556474002,,,
Wikipedia,626344,"Thanks. Does it happen to say anything about his marriage to Paula, as in when it ended?",21,17,18,16,17,A16PRU8T6NZLN5,A2UFD1I8ZO1V4G,A2UBXHCHM2I6IL,A37ADCYLCSB5O2,A13CO3B2BRXQLZ,0.931780011,17.8,Polite,0.230107846,,,
092011 Stack Overflow,1502945,I'm not sure what your problem is. Aren't you sure about how to automatically data bind it?,5,13,5,8,12,A23FB7HE970AZJ,AP6784DKV31O6,A3DKR227NQCH4X,A39FH0T1NKKMVO,A34M93NJC830DP,-1.198791291,8.6,Rude,0.684280474,,,
092011 IT Security,2485,This seems hard and fragile.  Why not just directly address any CSRF vulnerabilities that your site has?,21,25,17,13,21,A3IS283P2CECZJ,A3E157ZN8XPUKJ,ARYGQ46IMW8AU,A2UFD1I8ZO1V4G,A2MWGIVIKOXWYM,0.764645887,19.4,Polite,0.457937311,,,
092011 Stack Overflow,1247582,excuse me ? - class ?,1,13,13,10,5,A2AE4MZVUX9JPX,A28TXBSZPWMEU9,A1HBDQ0BJQBA4Q,AP6784DKV31O6,A321FJYVTX5WP9,-1.221210797,8.4,Rude,0.379161277,,,
092011 Stack Overflow,2129463,"What defines the end of an entry? Is it guaranteed that the lines within an entry won't start with a digit, but a line defining a new entry will?",17,16,19,21,16,A1G05O3HM7DNVZ,A3EJ5TT2ZGBIDA,A17G2LOYX7WQZ,A3DKR227NQCH4X,A39FH0T1NKKMVO,0.580059449,17.8,Polite,0.745934115,,,
092011 Drupal Answers,8668,"I have seen 'webform-revisions' module, but it solves nothing to me. Have you got that functionality working?",6,21,25,21,21,AYG3MF094634L,A3CPYEB0W3MLZK,A2FNOKJNY7E5WP,A2UFD1I8ZO1V4G,A1LRRDBA84ITCJ,1.451762951,18.8,Polite,0.602023976,,,
Wikipedia,626797,"What part of ""use common sense"" did not get through to you? Was it the ""use,"" the ""common,"" the ""sense,"" or some combination thereafter?",3,1,1,1,1,AW6UIL04MLQ9N,AO5E3LWBYM72K,A3MN5VOZFQPNZF,A24VFD1THQRMFO,A3R708BQ3N67PY,-2.251263891,1.4,Rude,0.352179965,,,
092011 Stack Overflow,7621174,What have you tried? What are the difficulties you encounter?,17,18,17,17,21,A2UFD1I8ZO1V4G,A125P73OQSRNI5,A3EJ5TT2ZGBIDA,A17G2LOYX7WQZ,A3DKR227NQCH4X,0.745183725,18,Polite,0.38437682,,,
092011 Ask Ubuntu,6140,"Do you want to turn off thumbnails on just the desktop, or in folder windows (e.g. Places -> Home Folder) as well?",17,17,21,21,13,ARYGQ46IMW8AU,A2UFD1I8ZO1V4G,A1FF4KWG1G44QE,A1XKHXJ8CMIX7N,A1LRRDBA84ITCJ,0.94582972,17.8,Polite,0.924800144,,,
092011 Apple,1225,"There seems to be a problem when attempting to obtain and parse the list of video devices, the Java engine crashes. What problems did you have with Skype, also iSight related?",5,1,1,1,9,AO3XB5I5QNNUI,A3E157ZN8XPUKJ,A34A7196LM26TV,A32VJLRWGMYGSU,A3U7P73AIQVS9S,-2.265335334,3.4,Rude,0.731267471,,,
Wikipedia,523617,"The page is getting smacked literally every half minute or so, and I think the joke's worn thin. Give us a break?",5,5,9,5,5,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,AD317NO9623GZ,A3S5L3I8O3Q2G,-2.028608275,5.8,Rude,0.117315285,,,
Wikipedia,354110,"Why delete the page <url> with no explanation, as an act of deliberate vandalism?  Why did you do it?",1,7,5,4,1,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A31RP7HI5172B,A13CO3B2BRXQLZ,A3SQ6ORWDN5BGZ,-2.231103564,3.6,Rude,0.716638877,,,
Wikipedia,580725,"Look dude, <url> was ALSO just deleted. What makes 2005 so special?",5,5,5,9,9,AZN83WTGUR1JZ,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A29B522D0BX6HN,AIPK94CUWL45W,-2.088206269,6.6,Rude,0.928108718,,,
092011 English Language and Usage,19093,"As you can see from the answers so far, it's not quite clear what context we're talking about. Could you please clarify?",9,5,10,9,9,A29EAR6TICPYE,A233ONYNWKDIYF,A3RLCGRXA34GC0,A3E157ZN8XPUKJ,A32VJLRWGMYGSU,-1.454214976,8.4,Rude,0.37106841,,,
092011 Cooking,4022,That sounds amazing!! Can I have the link? :D,17,17,23,17,17,A1E0EK09CA5OIO,A233ONYNWKDIYF,A3UH6OT7941A8A,A309BLCQJHQULO,A2BNOEYZ3VRW2R,0.449894181,18.2,Polite,0.367944163,,,
Wikipedia,468416,Please see <url>. Could you help with the list on the talk page?,17,21,17,17,18,A233ONYNWKDIYF,AISPSIJ54U4SC,A199E33VY97TR,A3T3VES112CGFO,A1F4D2PZ7NNWTL,0.898323807,18,Polite,0.434344958,,,
Wikipedia,550745,"'''I just take care of the problem.''' Can't you work ''with'' me, and not ''against'' me?",6,5,9,9,13,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A1G05O3HM7DNVZ,AIPK94CUWL45W,-1.518605853,8.4,Rude,0.815677548,,,
Wikipedia,524994,"Thanks for the infomative reply -- I wasn't really questioning your putting the image in the infobox; appearance-wise I don't think it makes much difference. It is better, though, I think, to have the thumbnail indicator -- Is it possible to have that inside the infobox?",21,20,17,19,17,A233ONYNWKDIYF,AZN83WTGUR1JZ,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A29B522D0BX6HN,1.025409933,18.8,Polite,0.139928594,,,
Wikipedia,625109,"No, of course I never did. So why do you keep writing about ""scorning others's sensitivities"" when such a thing was never suggested?",9,9,12,7,5,A2UFD1I8ZO1V4G,A1T546143DSJDI,AYG3MF094634L,A2LQ33BQ8G259D,A1Y3Z92RE62NPS,-1.601246524,8.4,Rude,0.908856651,,,
092011 Stack Overflow,945534,"Out of curiosity what are you actually trying to accomplish? To put it another way, _why_ do you want to do this?",9,14,8,1,8,A1G05O3HM7DNVZ,A3EJ5TT2ZGBIDA,A17G2LOYX7WQZ,A3DKR227NQCH4X,A39FH0T1NKKMVO,-1.441854782,8,Rude,0.182734441,,,
092011 Stack Overflow,6289345,Internet Explorer may cause that. Can you check IE permissions please?,25,17,17,16,21,A2AE4MZVUX9JPX,A3OW54MEVDKXJL,A3MMLCBV2W3BP9,A2BKPNKU3EG41Z,A3DKR227NQCH4X,1.051623867,19.2,Polite,0.920766757,,,
092011 Electrical Engineering,1164,"How are you going to power this?  If it's off of batteries, how long would you want it to last?",10,4,13,10,5,AYG3MF094634L,A23312XQ2AQ91W,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,AR6N5URYPDBXS,-1.425820636,8.4,Rude,0.965948752,,,
Wikipedia,623384,"This is helpful for automatized transfer scripts. By the way, did I get the location tag right on <url> :-) ?",20,19,19,22,20,A2WKPCZU4U110T,AVHARSCRX7M9E,A2ULMYRKQMNNFG,A3E11SHVDD48Z8,AZ1RJVNOZFIWV,1.106053022,20,Polite,0.959053938,,,
Wikipedia,624360,"Mel, is the above comment from you?  If not, could you please respond?",10,24,17,19,21,A6YO9886DY2SC,AO5E3LWBYM72K,A3KVLFBRO8X2MZ,A1E0EK09CA5OIO,A2UBXHCHM2I6IL,1.013302981,18.2,Polite,0.841203795,,,
Wikipedia,628740,"I actually know nothing about karate, but you look to be doing a good job with your work, and I'm just here to say sorry really that some of your articles got deleted. Which artiles got deleted?",13,21,21,17,23,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A34A6MSJTD9A4L,A3LXBP8T6JMY9B,A1Y3Z92RE62NPS,1.182959003,19,Polite,0.947785853,,,
Wikipedia,379791,The new features of Hotcat are excellent: whom do I thank for this? :-) Are you still its maintainer?,17,21,13,21,21,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A2QH1BQA6GR48O,A00613921OIEGJA322163,1.129572847,18.6,Polite,0.501073546,,,
Wikipedia,65237,"I don't own any from Rousseau either, but I did know it was Grand Cru, just made a mistake! I notice above you and Stefan discussing the Langton's Classification Wines, I'm going to have a go at getting articles made for more of the exceptional level producers, I've just finished one on <url> - are you interested in working on any of them together?",21,18,19,25,15,A2UFD1I8ZO1V4G,A7GFJUB1W93A2,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,0.91351651,19.6,Polite,0.882002004,,,
Wikipedia,281622,Noticed you've been holding the fort alone... again :) Thought I'd drop by and say hello. Surely your sanity has reached its limits by now?,13,21,21,20,21,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,AIPK94CUWL45W,1.496312634,19.2,Polite,0.393300988,,,
Wikipedia,164500,"I was doing some minor editing on this, and noticed that the date of death in the intro and infobox don't match. Could you take a look at this and see which is correct?",17,18,17,21,15,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,ANVEDG15GV3QE,AIPK94CUWL45W,0.928486199,17.6,Polite,0.937440418,,,
092011 Stack Overflow,4281781,@robertc - thanks for the reply. I don't know how to answer your question - what should I look for?,17,18,17,21,19,A3689IWHIHX69E,AD1IH74UX9IAI,A150TBAWIYV8J4,AP6784DKV31O6,A3OY0OL2M0HUTT,1.230392434,18.4,Polite,0.457596239,,,
092011 Stack Overflow,4852173,Not a clue what you're talking about. Is PhotoshopImage a private class you've created or what?,6,15,5,5,8,AZJOGRB07OS28,AYG3MF094634L,A2WRP1KHK1UU7L,A34NDXO56MBC3D,A39FH0T1NKKMVO,-1.311948167,7.8,Rude,0.136149796,,,
Wikipedia,246669,I seconded wholeheartedly your proposal at <url>. Could you please add a link to the discussion?,21,13,25,22,25,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A19ZT0TQPFA2,1.52112809,21.2,Polite,0.168910454,,,
092011 Web Applications,120,"This seems OT?  @LBushkin, do you think this would be the right site for this kind of question?",11,5,9,5,9,ARYGQ46IMW8AU,A2UFD1I8ZO1V4G,A1FF4KWG1G44QE,A1XKHXJ8CMIX7N,A1LRRDBA84ITCJ,-1.881490836,7.8,Rude,0.384119372,,,
092011 Programmers,10858,The Smalltalk one? The CLOS one?,17,25,18,19,21,AO3XB5I5QNNUI,A2TVQMMI5TNQPJ,A3RLCGRXA34GC0,A28TXBSZPWMEU9,A22SZHZTF72TRM,1.828535184,20,Polite,0.017488635,,,
Wikipedia,56086,Nice pie chart for mobile phone contractor %'s during 3rd quarter 2008. Was just wondering though which country the chart represents as I think perhaps this should be mentioned?,23,21,19,19,17,ANGX5PAAYGL9P,A2YFPO0N4GIS25,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,1.245817895,19.8,Polite,0.511473843,,,
Wikipedia,38386,"The <url> page said that <url> will be shown on the <url> subchannels 26.5 and 26.6, and also on analog channel 48. It is also expected that The U Too will displace Me Too from analog channel 48. If that's the case, then, where do you suppose Me Too will end up? What new channel in Chicago will it be shown on?",12,17,22,18,20,A1E0EK09CA5OIO,AO3XB5I5QNNUI,A2HHK2B1GUH9GX,A31RP7HI5172B,A3SQ6ORWDN5BGZ,0.535320497,17.8,Polite,0.528903123,,,
Wikipedia,130235,This is incorrect. Have you looked at the article any time after October 2008?,5,9,9,1,9,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A2QH1BQA6GR48O,A207OR9LV0PAPY,-1.985616524,6.6,Rude,0.600542768,,,
092011 Unix and Linux,1622,"Does saying `/bin/sh -l` fix it?  If not, what about switching to another shell, like `tcsh -l`?",21,19,16,15,22,A3E157ZN8XPUKJ,A1KC138MX47DXA,ARYGQ46IMW8AU,A28TXBSZPWMEU9,A13HSR88OUNIVP,0.592398781,18.6,Polite,0.969708766,,,
092011 Stack Overflow,5803570,I don't see anything strange in the log you posted. What do you expect `NSTokenField` to do???,5,5,13,7,5,A1UIH2IMG9DV95,A1GGOZPHYU0OC0,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,AP6784DKV31O6,-1.626614347,7,Rude,0.536400065,,,
Wikipedia,541905,thank you very much for your patience and for listening. how do you think is the best way to resolve these issues?,21,25,25,21,21,A2UFD1I8ZO1V4G,A6YO9886DY2SC,AO5E3LWBYM72K,ARYGQ46IMW8AU,A1Y3Z92RE62NPS,1.822211586,22.6,Polite,0.31976015,,,
092011 Stack Overflow,5482785,"@bvr @chambwez I think my code is working fine now :) My last question would be, is session handling possible in XMLRPC? How do I maintain a stateful transmission between the client and the server?",21,17,18,21,13,A2X9AEDAHF7O7S,AQRI1E9W5268O,A2OXXHGAM7B0Y,A150TBAWIYV8J4,A312BVGKE6BAS5,1.200667629,18,Polite,0.863626237,,,
Wikipedia,5034,"Thanks for pointing out that ""undiscussed moves"" discussion, I hope something comes out of that - but it doesn't really look like it will.  I'm not sure what I'm looking for on the discussion page for <url> about this, what am I missing?",22,16,17,22,21,A22DP0ST9DWG9O,A1E0EK09CA5OIO,AO3XB5I5QNNUI,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,1.070102921,19.6,Polite,0.670906321,,,
Wikipedia,621537,"I was visiting the <url> article again today, and I had the same instinctive reaction to the image, that it is too specific and not representative of all pederastic relationships but only the sexual ones. Would you mind if I changed to something more representative of the practice, like a symposium image?",18,19,14,17,21,AW6UIL04MLQ9N,AO5E3LWBYM72K,A3MN5VOZFQPNZF,A24VFD1THQRMFO,A3R708BQ3N67PY,0.849782793,17.8,Polite,0.968591806,,,
092011 Stack Overflow,2700304,"This sounds like homework. Also, Lisp is built around recursion, why do you want to avoid it?",9,10,7,8,9,AQRI1E9W5268O,A2WRP1KHK1UU7L,A3EJ5TT2ZGBIDA,A872FSFU7WV6W,A3OY0OL2M0HUTT,-1.132491242,8.6,Rude,0.026065285,,,
Wikipedia,143151,<url> was a bit bad form. Think twice before you do it again?,5,5,5,1,5,A3I83CQLOZRO79,A233ONYNWKDIYF,AI4WWBB2PNCKH,A26YKYQIA3GX8B,A28K8ST8B2XU0N,-1.590945052,4.2,Rude,0.20763693,,,
092011 Stack Overflow,5105851,It's a pretty dumb question.  Who is asking you this?,1,5,1,5,5,A1UIH2IMG9DV95,A1GGOZPHYU0OC0,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,AP6784DKV31O6,-3.069798953,3.4,Rude,0.223277793,,,
092011 Stack Overflow,3095566,"Yes it does, but the weird thing it's that all the other user attributes are getting passed (When i take a look at the console, every other value but the client_id hash it's getting passed from the form). Do you think that the fact that I'm also using authlogic for this same model may be something to do with it?",17,17,18,21,21,A233ONYNWKDIYF,A14TK8NCD4CUN1,A17G2LOYX7WQZ,A1KC138MX47DXA,A3OY0OL2M0HUTT,1.119347368,18.8,Polite,0.896990164,,,
092011 Drupal Answers,7200,Can you please tell me how to use this PHP code and what it does?,21,21,13,13,22,A233ONYNWKDIYF,A125P73OQSRNI5,A3OZ8KF0HWSVWK,A22SZHZTF72TRM,A1IL3EEC2BN53J,0.863151441,18,Polite,0.671623783,,,
Wikipedia,626130,You sure kill educating information. I wounder why?,5,1,1,18,5,A2UFD1I8ZO1V4G,A1QV3X9YMQQ3OQ,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,A13CO3B2BRXQLZ,-1.802774575,6,Rude,0.12631456,,,
092011 Stack Overflow,1883412,this has nothing to do with C#.  Why did you add it as a tag?,9,6,9,7,8,A2UFD1I8ZO1V4G,A2USG66RL7MM4E,A3MMLCBV2W3BP9,A2WGBPEN45GJNF,A39FH0T1NKKMVO,-1.643104453,7.8,Rude,0.940164842,,,
092011 Stack Overflow,6709203,oh sorry mr. wizard yeah i meant math in general - can i change it somehow?,13,8,5,8,7,A1ZHP80O13CEUI,ARYGQ46IMW8AU,A1F4D2PZ7NNWTL,AD1IH74UX9IAI,A3OY0OL2M0HUTT,-1.583758223,8.2,Rude,0.535191006,,,
Wikipedia,565445,Anytime. How do you like this closer crop?,14,18,21,25,20,A2WKPCZU4U110T,A22SZHZTF72TRM,A3L8MJ1C4OEDGV,A3E157ZN8XPUKJ,AC25X12LNYY6Y,0.751548256,19.6,Polite,0.16159329,,,
Wikipedia,30169,"Hello, I am interested in helping out with <url> and <url>, but the pages are very very long, which is unmanageable and discouraging. Could you please break them up into (many) smaller subpages?",14,21,21,15,22,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A2QH1BQA6GR48O,A207OR9LV0PAPY,1.064401062,18.6,Polite,0.608484223,,,
Wikipedia,384990,I've heard you say you have quite a collection of dog books. Any chance you could list them for us?,17,21,17,15,21,A233ONYNWKDIYF,APDWVWS2HMSFD,A3GOI327COFGY5,A29B522D0BX6HN,A3IHLWMZNBLUR4,0.794800972,18.2,Polite,0.264149742,,,
092011 Stack Overflow,6676174,Having the number of managed threads isn't very meaningful as a metric; most of those threads will have near-zero overhead when they're sleeping. Why do you want to know?,5,9,10,1,13,A3H8M155NBFE1L,A233ONYNWKDIYF,A34NDXO56MBC3D,A3DKR227NQCH4X,A34M93NJC830DP,-0.944411263,7.6,Rude,0.464563823,,,
Wikipedia,559576,"Thanks for nuking that thing. While the page was still present, someone opened an <url>...could you please close it?",21,17,19,16,17,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A872FSFU7WV6W,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,1.01208606,18,Polite,0.175031674,,,
092011 Statistical Analysis,2858,"You could specify whether you need an introduction on applied statistics, or one on (theoretical) statistical inference. I.e., do you want the framework of testing, regression and ANOVA explained or do you want to know what the central limit theorem and the inequality of Chebiyshev have to do with the weak law of large numbers?",6,12,5,9,1,AYG3MF094634L,A23312XQ2AQ91W,A3E157ZN8XPUKJ,A32VJLRWGMYGSU,ARX0S1CIDJLOX,-1.950000935,6.6,Rude,0.182313438,,,
Wikipedia,625709,I asked you a question. Be educated and please respond: What does <url> has  to do with <url>?,5,1,1,5,8,A233ONYNWKDIYF,AEWF3138PFWEN,A1GWSZ4I2QGCNJ,A2ULMYRKQMNNFG,AZ1RJVNOZFIWV,-2.282918154,4,Rude,0.788229691,,,
092011 Android Enthusiasts,5688,My stock Android keyboard works with text prediction.  What's shown as the name in Settings -> Locale and text?,22,18,17,17,24,A2F3HD9YL0LRLK,A23312XQ2AQ91W,ARYGQ46IMW8AU,A32VJLRWGMYGSU,A1FF4KWG1G44QE,0.850341287,19.6,Polite,0.373344001,,,
Wikipedia,630160,"''SO!?!?'', what has it got to do with you?",5,2,6,1,1,ANMGOZ451W9ZN,A22SZHZTF72TRM,AW6UIL04MLQ9N,A3H7G3TQXAYGYD,A117G4HSX1Y0LQ,-2.330943114,3,Rude,0.311638415,,,
092011 Programmers,31970,For source control reasons? Can you please explain?,9,5,10,5,5,AO3XB5I5QNNUI,A233ONYNWKDIYF,A3RLCGRXA34GC0,A13CO3B2BRXQLZ,A3CFNUD7VR2E1E,-1.557584788,6.8,Rude,0.907313104,,,
Wikipedia,627311,"What, my dear, will change the fact of your poor anargumentative technique??",5,1,3,4,7,A233ONYNWKDIYF,A22SZHZTF72TRM,A3BA2LVL6Y7YO7,AVHARSCRX7M9E,AMJAP6BGF5LVM,-2.152445625,4,Rude,0.408825757,,,
